file_name,original_file_name,cwe_id,cwe_present,acceptable_cwe_ids,cwe_description
J10126,CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_no_check_41_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J10127,CWE129_Improper_Validation_of_Array_Index__connect_tcp_array_read_no_check_41_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J10530,CWE129_Improper_Validation_of_Array_Index__database_array_read_no_check_02_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J10531,CWE129_Improper_Validation_of_Array_Index__database_array_read_no_check_02_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J10676,CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_max_09_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J10677,CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_max_09_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J10738,CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_min_21_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J10739,CWE129_Improper_Validation_of_Array_Index__Environment_array_read_check_min_21_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J10754,CWE129_Improper_Validation_of_Array_Index__Environment_array_read_no_check_04_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J10755,CWE129_Improper_Validation_of_Array_Index__Environment_array_read_no_check_04_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J11014,CWE129_Improper_Validation_of_Array_Index__File_array_size_02_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J11015,CWE129_Improper_Validation_of_Array_Index__File_array_size_02_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J11176,CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_check_min_17_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J11177,CWE129_Improper_Validation_of_Array_Index__getCookies_Servlet_array_read_check_min_17_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J11338,CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_check_max_10_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
J11339,CWE129_Improper_Validation_of_Array_Index__getParameter_Servlet_array_read_check_max_10_good,CWE-129,False,CWE-129 CWE-1285,Improper Validation of Array Index
J11558,CWE129_Improper_Validation_of_Array_Index__getQueryString_Servlet_array_read_check_max_10_bad,CWE-129,True,CWE-129 CWE-1285,Improper Validation of Array Index
